NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
2,FDG213 NA,GRILLE FULL CHROME,Ford,EXPEDITION,7L1Z-8200BA,1,1.951218955,1.638954992,0.081866678,2007,2014,,,,,
1,FDP215 UA,FRONT BUMPER UPPER W/O FLARE HOLE,Ford,EXPEDITION,FL1Z-17D957-APTM,1,1.634774051,2.662832156,0.851532949,2015,2017,,,,,
2,FDP215 UB,FRONT BUMPER UPPER W/ FLARE HOLE,Ford,EXPEDITION,FL1Z-17D957-BPTM,1,18.6383383,14.8750138,0.294170493,2015,2017,,,,,
3,FDB215 LA,FRONT BUMPER LOWER,Ford,EXPEDITION,FL1Z-17D957-AA,1,4.874255418,20.17699353,0.159291768,2015,2017,,,,,
4,FDB217 UA,FRONT BUMPER UPPER SQUARE,Ford,EXPEDITION,FL1Z-17D957-EPTM,1,5.056171155,23.48913184,0.792781987,2015,2017,,,,,
5,FDB215 UC,FRONT BUMPER LOWER W SENSOR HOLE,Ford,EXPEDITION,FL1Z-17D957-CA,1,4.224367721,0.094056679,0.638886227,2015,2017,,,,,
6,FDG215 NA,GRILLE,Ford,EXPEDITION,FL1Z-8200-BA,1,1.46280972,27.39813921,1.860676849,2015,2017,,,,,
1,FDB011 NA,FRONT BUMOER,Ford,FIESTA,3N2117757 ADW,1,14.88405847,20.22419435,0.049593662,2003,2005,,,,,
2,FDBF011 NA,FRONT BUMPER FINISHER,Ford,FIESTA,4N21-FO18A58-AAW,1,6.66900241,14.33352319,0.143523607,2005,2005,,,,,
3,FDB012 NA,REAR BUMPER,Ford,FIESTA,3N211790 ABW,1,0.260380115,11.89473563,0.047419808,2003,2005,,,,,
4,FDG011 NA,GRILLE CP/BK,Ford,FIESTA,3N21-8A428-ABW,1,13.39884844,4.302816729,0.202613389,2003,2005,,,,,
5,FDG011 NB,GRILLE CP/BK,Ford,FIESTA,3N21-8A428-ABW,1,11.77398281,1.075925513,0.773937858,2003,2005,,,,,
6,FDG012 NA,GRILLE,Ford,FIESTA,3N21-8A133-ABW,1,0.305348978,0.493476576,0.008137203,2005,2005,,,,,
7,FDHL011 LA,HEAD LAMP LH,Ford,FIESTA,3N21-13006-AA,1,10.00070189,0.495314155,0.829357037,2003,2003,,,,,
,FDHL011 RA,HEAD LAMP RH,Ford,FIESTA,3N21-13005-AA,1,14.74825717,0.39442545,0.072593656,2003,2003,,,,,
8,FDHL011 LB,HEAD LAMP LH,Ford,FIESTA,5N21-13006-AA,1,15.43395672,11.01617989,0.311427205,2005,2005,,,,,
,FDHL011 RB,HEAD LAMP RH,Ford,FIESTA,5N21-13006-AA,1,0.278537468,1.445978992,0.278834771,2005,2005,,,,,
9,FDHL011 LC,HEAD LAMP SPORT TYPE LH,Ford,FIESTA,5N21-13006-CA,1,7.527376011,2.744405133,0.200899593,2005,2005,,,,,
,FDHL011 RC,HEAD LAMP SPORT TYPE RH,Ford,FIESTA,5N21-13005-CA,1,10.92138615,0.704628527,0.333330706,2005,2005,,,,,
10,FDFC011 LA,FOG LAMP COVER LH,Ford,FIESTA,3N21-19953-BWA,1,9.346871621,5.753863749,1.039927648,2003,2003,,,,,
,FDFC011 RA,FOG LAMP COVER RH,Ford,FIESTA,3N21-19952-BWA,1,7.591410941,4.489085946,0.011253233,2003,2003,,,,,
11,FDFL011 LA,FOG LAMP LH,Ford,FIESTA,3N21-15K202-AA,1,21.87862655,2.401512201,0.860144017,2003,2003,,,,,
,FDFL011 RA,FOG LAMP RH,Ford,FIESTA,3N21-15K201-AA,1,10.09645818,10.49070017,0.542255203,2003,2003,,,,,
12,FDFC011 LB,FOG LAMP COVER LH,Ford,FIESTA,4N21-19953-ABW,1,16.11063967,12.13870359,0.368489125,2005,2005,,,,,
,FDFC011 RB,FOG LAMP COVER RH,Ford,FIESTA,4N21-19952-ABW,1,5.041186004,6.914114768,0.647554572,2005,2005,,,,,
13,FDFL011 LB,FOG LAMP LH,Ford,FIESTA,4N21-15K202-AA,1,17.64442041,15.95596798,0.152421388,2005,2005,,,,,
