NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR
6.0,FDG215 NA,GRILLE,Ford,EXPEDITION,FL1Z-8200-BA,1,1.462809720219296,27.398139208216914,1.8606768490648744,2015,2017
1.0,FDB011 NA,FRONT BUMOER,Ford,FIESTA,3N2117757 ADW,1,14.884058465511506,20.22419435038856,0.0495936618181055,2003,2005
2.0,FDBF011 NA,FRONT BUMPER FINISHER,Ford,FIESTA,4N21-FO18A58-AAW,1,6.669002409708847,14.333523186020994,0.1435236072173592,2005,2005
3.0,FDB012 NA,REAR BUMPER,Ford,FIESTA,3N211790 ABW,1,0.2603801154299284,11.894735631736983,0.0474198080420934,2003,2005
4.0,FDG011 NA,GRILLE CP/BK,Ford,FIESTA,3N21-8A428-ABW,1,13.398848435435898,4.302816728513947,0.2026133890101805,2003,2005
5.0,FDG011 NB,GRILLE CP/BK,Ford,FIESTA,3N21-8A428-ABW,1,11.773982809872985,1.0759255131283212,0.7739378580613809,2003,2005
6.0,FDG012 NA,GRILLE,Ford,FIESTA,3N21-8A133-ABW,1,0.3053489783925304,0.4934765755341198,0.0081372025855277,2005,2005
7.0,FDHL011 LA,HEAD LAMP LH,Ford,FIESTA,3N21-13006-AA,1,10.000701889061975,0.4953141549339525,0.8293570366038354,2003,2003
,FDHL011 RA,HEAD LAMP RH,Ford,FIESTA,3N21-13005-AA,1,14.748257169902352,0.3944254498481171,0.0725936563606191,2003,2003
8.0,FDHL011 LB,HEAD LAMP LH,Ford,FIESTA,5N21-13006-AA,1,15.433956716757534,11.016179888802684,0.3114272047051371,2005,2005
,FDHL011 RB,HEAD LAMP RH,Ford,FIESTA,5N21-13006-AA,1,0.278537467818007,1.445978991683757,0.278834770786698,2005,2005
9.0,FDHL011 LC,HEAD LAMP SPORT TYPE LH,Ford,FIESTA,5N21-13006-CA,1,7.527376011355296,2.744405133388399,0.200899593212302,2005,2005
,FDHL011 RC,HEAD LAMP SPORT TYPE RH,Ford,FIESTA,5N21-13005-CA,1,10.92138614581887,0.7046285270935201,0.3333307059939083,2005,2005
